title;genre;duration;storyline
Coco ; Animation;;"
                    Aspiring musician Miguel; confronted with his family's ancestral ban on music; enters the Land of the Dead to find his great-great-grandfather; a legendary singer.
            "
Your Name. ; Animation;106 min;"
                    Two strangers find themselves linked in a bizarre way. When a connection forms; will distance be the only thing to keep them apart?
            "
Aliens ; Action;137 min;"
                    Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized; but contact is lost. This time; colonial marines have impressive firepower; but will that be enough?
            "
The Dark Knight Rises ; Action;164 min;"
                    Eight years after the Joker's reign of anarchy; Batman; with the help of the enigmatic Catwoman; is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.
            "
Witness for the Prosecution ; Crime;116 min;"
                    A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
            "
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ; Comedy;95 min;"
                    An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.
            "
Oldboy ; Action;120 min;"
                    After being kidnapped and imprisoned for fifteen years; Oh Dae-Su is released; only to find that he must find his captor in five days.
            "
Princess Mononoke ; Animation;134 min;"
                    On a journey to find the cure for a Tatarigami's curse; Ashitaka finds himself in the middle of a war between the forest gods and Tatara; a mining colony. In this quest he also meets San; the Mononoke Hime.
            "
WALL·E ; Animation;98 min;"
                    In the distant future; a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.
            "
Sunset Blvd. ; Drama;110 min;"
                    A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
            "
Django Unchained ; Drama;165 min;"
                    With the help of a German bounty hunter; a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.
            "
The Great Dictator ; Comedy;125 min;"
                    Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
            "
The Shining ; Drama;144 min;"
                    A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence; while his psychic son sees horrific forebodings from both past and future.
            "
Spider-Man: Into the Spider-Verse ; Animation;117 min;"
                    Teen Miles Morales becomes Spider-Man of his reality; crossing his path with five counterparts from other dimensions to stop a threat for all realities.
            "
Paths of Glory ; Drama;88 min;"
                    After refusing to attack an enemy position; a general accuses the soldiers of cowardice and their commanding officer must defend them.
            "
The Lives of Others ; Drama;137 min;"
                    In 1984 East Berlin; an agent of the secret police; conducting surveillance on a writer and his lover; finds himself becoming increasingly absorbed by their lives.
            "
Avengers: Infinity War ; Action;149 min;"
                    The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
            "
Apocalypse Now ; Drama;147 min;"
                    A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
            "
Memento ; Mystery;113 min;"
                    A man with short-term memory loss attempts to track down his wife's murderer.
            "
Cinema Paradiso ; Drama;155 min;"
                    A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
            "
Grave of the Fireflies ; See all certifications;89 min;"
                    A young boy and his little sister struggle to survive in Japan during World War II.
            "
Alien ; Horror;117 min;"
                    After a space merchant vessel perceives an unknown transmission as a distress call; its landing on the source moon finds one of the crew attacked by a mysterious lifeform; and they soon realize that its life cycle has merely begun.
            "
Rear Window ; Mystery;112 min;"
                    A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
            "
Raiders of the Lost Ark ; Action;115 min;"
                    In 1936; archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before "
Casablanca ; Drama;102 min;"
                    A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.
            "
Avengers: Endgame ; Action;181 min;"
                    After the devastating events of "
Whiplash ; Drama;106 min;"
                    A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
            "
The Prestige ; Drama;130 min;"
                    After a tragic accident; two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.
            "
Once Upon a Time in the West ; Western;165 min;"
                    A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
            "
The Departed ; Crime;151 min;"
                    An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
            "
Gladiator ; Action;155 min;"
                    A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
            "
City Lights ; Comedy;87 min;"
                    With the aid of a wealthy erratic tippler; a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.
            "
The Intouchables ; Biography;112 min;"
                    After he becomes a quadriplegic from a paragliding accident; an aristocrat hires a young man from the projects to be his caregiver.
            "
Psycho ; Horror;109 min;"
                    A Phoenix secretary embezzles forty thousand dollars from her employer's client; goes on the run; and checks into a remote motel run by a young man under the domination of his mother.
            "
Modern Times ; Comedy;87 min;"
                    The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
            "
Back to the Future ; Adventure;116 min;"
                    Marty McFly; a 17-year-old high school student; is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend; the maverick scientist Doc Brown.
            "
The Pianist ; Biography;150 min;"
                    A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
            "
American History X ; Drama;119 min;"
                    A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
            "
Parasite ; Comedy;132 min;"
                    All unemployed; Ki-taek and his family take peculiar interest in the wealthy and glamorous Parks; as they ingratiate themselves into their lives and get entangled in an unexpected incident.
            "
Goodfellas ; Biography;146 min;"
                    The story of Henry Hill and his life in the mob; covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.
            "
Terminator 2: Judgment Day ; Action;137 min;"
                    A cyborg; identical to the one who failed to kill Sarah Connor; must now protect her teenage son; John Connor; from a more advanced and powerful cyborg.
            "
One Flew Over the Cuckoo's Nest ; Drama;133 min;"
                    A criminal pleads insanity and is admitted to a mental institution; where he rebels against the oppressive nurse and rallies up the scared patients.
            "
Joker ; Crime;122 min;"
                    In Gotham City; mentally-troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: ""The Joker"".
            "
The Matrix ; Action;136 min;"
                    A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
            "
The Lord of the Rings: The Two Towers ; Adventure;179 min;"
                    While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum; the divided fellowship makes a stand against Sauron's new ally; Saruman; and his hordes of Isengard.
            "
Star Wars: Episode V - The Empire Strikes Back ; Action;124 min;"
                    After the Rebels are brutally overpowered by the Empire on the ice planet Hoth; Luke Skywalker begins Jedi training with Yoda; while his friends are pursued by Darth Vader.
            "
Inception ; Action;148 min;"
                    A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
            "
Fight Club ; Drama;139 min;"
                    An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much; much more.
            "
Forrest Gump ; Drama;142 min;"
                    The presidencies of Kennedy and Johnson; the events of Vietnam; Watergate; and other history unfold through the perspective of an Alabama man with an IQ of 75.
            "
Pulp Fiction ; Crime;154 min;"
                    The lives of two mob hitmen; a boxer; a gangster and his wife; and a pair of diner bandits intertwine in four tales of violence and redemption.
            "
Schindler's List ; Biography;195 min;"
                    In German-occupied Poland during World War II; industrialist "
"The Good; the Bad and the Ugly "; Western;161 min;"
                    A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
            "
The Lord of the Rings: The Fellowship of the Ring ; Adventure;178 min;"
                    A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
            "
The Lord of the Rings: The Return of the King ; Adventure;201 min;"
                    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
            "
12 Angry Men ; Drama;96 min;"
                    A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
            "
The Dark Knight ; Action;152 min;"
                    When the menace known as the Joker wreaks havoc and chaos on the people of Gotham; Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.
            "
The Godfather: Part II ; Crime;202 min;"
                    The early life and career of Vito Corleone in 1920s New York City is portrayed; while his son; Michael; expands and tightens his grip on the family crime syndicate.
            "
The Godfather ; Crime;175 min;"
                    The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
            "
